URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-39m2-balkon-bezposrednio-ID4uo4J,647 099 zł,16 411 zł/m²,"ul. Pabianicka, Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie",39.43m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-ogrodek-bezposrednio-ID4uh3E,Brak danych,Brak danych,"ul. Krakowska, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie",28.18m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-w-bloku-z-cegly-fordon-ID4w1Mw,325 000 zł,9 475 zł/m²,"Nowy Fordon, Bydgoszcz, kujawsko-pomorskie",34.3m²,1 pokój,inne,wtórny,biuro nieruchomości,2000,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/apartamenty-winnica-naleczow-ID4uwf6,593 966 zł,14 790 zł/m²,"Nałęczów, Nałęczów, puławski, lubelskie",40.16m²,1 pokój,gazowe,pierwotny,biuro nieruchomości,2026,apartamentowiec,plastikowe,beton komórkowy
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-45m2-taras-bezposrednio-ID4uAa1,Brak danych,Brak danych,"ul. Przeworska, Grochów, Praga-Południe, Warszawa, mazowieckie",45.28m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-balkon-bez-prowizji-ID4uaci,Brak danych,Brak danych,"ul. Jodłowicka, Pracze Odrzańskie, Fabryczna, Wrocław, dolnośląskie",36m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-ID4umI9,Brak danych,Brak danych,"ul. Ostródzka, Brzeziny, Białołęka, Warszawa, mazowieckie",29.49m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-inwestycyjna-600m-od-morza-perelka-ID4wdb0,512 000 zł,17 896 zł/m²,"Kołobrzeg, kołobrzeski, zachodniopomorskie",28.61m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2019,apartamentowiec,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/m1-w-zorach-vi-twoje-nowe-m-ID4nwOv,259 720 zł,8 600 zł/m²,"ul. Promienna, Żory, śląskie",30.2m²,1 pokój,gazowe,pierwotny,deweloper,2023,apartamentowiec,plastikowe,pustak
https://www.otodom.pl/pl/oferta/nowe-mieszkania-1-pokoj-ogrodek-23-vat-ID4wdY1,270 840 zł,11 100 zł/m²,"ul. Ligocka, Załęska Hałda-Brynów, Katowice, śląskie",24.4m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2026,apartamentowiec,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/bielskie-tarasy-mieszkanie-1-pok-nowa-inwestycja-ID4wcUY,280 000 zł,9 377 zł/m²,"ul. Filarowa, Stare Bielsko, Bielsko-Biała, śląskie",29.86m²,1 pokój,miejskie,pierwotny,deweloper,2025,apartamentowiec,plastikowe,silikat
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bez-prowizji-ID4umnB,Brak danych,Brak danych,"ul. Myszyniecka, Bródno, Targówek, Warszawa, mazowieckie",27.61m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/apartamenty-inwestycyjne-prestiz-zysk-lokaliza-ID4wd16,319 100 zł,12 273 zł/m²,"Śródmieście, Śródmieście, Gdańsk, pomorskie",26m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,Brak danych,Brak danych,beton komórkowy
https://www.otodom.pl/pl/oferta/stylowa-kawalerka-na-piatkowie-ID4wcG1,420 000 zł,12 727 zł/m²,"os. Bolesława Śmiałego, Piątkowo, Stare Miasto, Poznań, wielkopolskie",33m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1978,blok,Brak danych,wielka płyta
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-loggia-ID4udZ7,Brak danych,Brak danych,"ul. Hawelańska, Winogrady, Stare Miasto, Poznań, wielkopolskie",29.1m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/duze-okna-i-wysokie-sufity-dla-milosnikow-kamienic-ID4uJ2U,780 000 zł,18 475 zł/m²,"Stara Praga, Praga-Północ, Warszawa, mazowieckie",42.22m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1910,kamienica,Brak danych,cegła
https://www.otodom.pl/pl/oferta/wum-inwestycja-pod-wynajem-cicho-od-zaraz-park-ID4uDX3,387 000 zł,20 919 zł/m²,"ul. Racławicka, Rakowiec, Ochota, Warszawa, mazowieckie",18.5m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1969,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-bez-prowizji-ID4u9E0,Brak danych,Brak danych,"ul. Chłodna, Helenów, Bałuty, Łódź, łódzkie",37.77m²,1 pokój,brak informacji,pierwotny,deweloper,2024,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-ogrodek-ID4unDB,Brak danych,Brak danych,"ul. Bieszczadzka, Wielki Kack, Gdynia, pomorskie",33.35m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/centrum-jezyceuczelnie-w-okolicysmart-osiedle-ID4w6ze,389 999 zł,13 000 zł/m²,"ul. Jana Henryka Dąbrowskiego, Jeżyce, Jeżyce, Poznań, wielkopolskie",30m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,Brak danych,apartamentowiec,Brak danych,cegła
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-ogrodek-bez-prowizji-ID4uhR5,Brak danych,Brak danych,"ul. Spadochroniarzy, Złotno, Polesie, Łódź, łódzkie",27.88m²,1 pokój,brak informacji,pierwotny,deweloper,2024,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/pomorska-mieszkanie-1-pok-p8-2-12-ID4nsWn,599 000 zł,11 152 zł/m²,"ul. Pomorska, Śródmieście, Bydgoszcz, kujawsko-pomorskie",53.71m²,1 pokój,brak informacji,pierwotny,deweloper,2024,apartamentowiec,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/sprzedam-kawalerke-centrum-miasta-ID4wcEB,430 000 zł,15 926 zł/m²,"Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie",27m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,Brak danych,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/piekne-mieszkanie-centrum-dla-studenta-ID4weGp,543 191 zł,18 507 zł/m²,"Ołbin, Śródmieście, Wrocław, dolnośląskie",29.35m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2026,blok,Brak danych,inny
https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-42m2-balkon-ID4ulTT,702 391 zł,16 605 zł/m²,"ul. Nowomiejska, Młyniska, Gdańsk, pomorskie",42.3m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kup-i-zarabial-apartamenty-na-lesnej-ID4uTYB,499 000 zł,23 383 zł/m²,"ul. Leśna, Bukowina Tatrzańska, Bukowina Tatrzańska, tatrzański, małopolskie",21.34m²,1 pokój,inne,wtórny,biuro nieruchomości,1935,apartamentowiec,plastikowe,drewno
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-loggia-bez-prowizji-ID4u9Mz,327 580 zł,11 000 zł/m²,"ul. Dębowa/Senatorska, Górniak, Górna, Łódź, łódzkie",29.78m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-32m2-balkon-piwnica-lilii-wenedy-ID4uAAO,485 000 zł,15 156 zł/m²,"Lilii Wenedy, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie",32m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1976,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/nowa-cena-kawalerka-po-remoncie-ID4uEfD,190 000 zł,5 556 zł/m²,"Jastrzębie-Zdrój, śląskie",34.2m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4uG2R,Brak danych,Brak danych,"ul. Piątkowska, Winiary, Jeżyce, Poznań, wielkopolskie",35.73m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/tu-odpoczniesz-i-znajdziesz-spokoj-ID4weeQ,"453 413,41 zł",15 407 zł/m²,"ul. Szkolna, Międzywodzie, Dziwnów, kamieński, zachodniopomorskie",29.43m²,1 pokój,kotłownia,pierwotny,biuro nieruchomości,Brak danych,blok,plastikowe,silikat
https://www.otodom.pl/pl/oferta/hawelanska-dostepne-od-zaraz-duzy-taras-ID4wemK,449 000 zł,15 754 zł/m²,"ul. Hawelańska, Winogrady, Stare Miasto, Poznań, wielkopolskie",28.5m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/nietypowa-duza-klimatyczna-kawalerka-rezerwacja-ID4w9jE,290 000 zł,7 688 zł/m²,"Nowe Rokicie, Górna, Łódź, łódzkie",37.72m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1960,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/kawalerka-16-9-m2-pod-inwestycje-biezanow-ID4rYlk,179 000 zł,11 258 zł/m²,"ul. Młodzieży, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie",15.9m²,1 pokój,brak informacji,wtórny,prywatny,Brak danych,Brak danych,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-29-9-m-w-ruczaju-ID4wftH,460 000 zł,15 333 zł/m²,"Ruczaj, Dębniki, Kraków, małopolskie",30m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/od-razu-z-najemca-zarabiaj-1880-netto-roi-ok-8-ID4wfxK,373 955 zł,14 500 zł/m²,"Partynice, Krzyki, Wrocław, dolnośląskie",25.79m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2024,apartamentowiec,plastikowe,silikat
https://www.otodom.pl/pl/oferta/zakrzowek-residence-z-gwarancja-najmu-ID4tWdV,499 000 zł,19 960 zł/m²,"ul. Kobierzyńska, Ruczaj, Dębniki, Kraków, małopolskie",25m²,1 pokój,miejskie,pierwotny,prywatny,2004,apartamentowiec,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/male-mieszanie-w-centrum-lodzi-kilinskiego-100-ID4ooLy,295 000 zł,9 906 zł/m²,"ul. Jana Kilińskiego 100, Księży Młyn, Widzew, Łódź, łódzkie",29.78m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/barbary-19-1-pok-ogrzewanie-podlogowe-ID4rg8P,Brak danych,Brak danych,"ul. Barbary, Śródmieście, Katowice, śląskie",29.06m²,1 pokój,inne,pierwotny,deweloper,2025,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/top-lokalizacja-obok-parku-nowe-po-remoncie-ID4wdtR,389 000 zł,12 156 zł/m²,"ul. Mariacka 36, Śródmieście, Katowice, śląskie",32m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,Brak danych,kamienica,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-balkon-ID4u8YH,392 418 zł,11 700 zł/m²,"ul. Józefowska 23, Wełnowiec-Józefowiec, Katowice, śląskie",33.54m²,1 pokój,miejskie,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/ostatnia-kawalerka-politechnika-do-28-02-rabat-ID4weXl,302 635 zł,11 134 zł/m²,"al. Politechniki, Politechniczna, Polesie, Łódź, łódzkie",27.18m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,apartamentowiec,plastikowe,inny
https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-w-chodziezy-ID4uIU0,190 000 zł,5 142 zł/m²,"Chodzież, chodzieski, wielkopolskie",36.95m²,1 pokój,gazowe,wtórny,biuro nieruchomości,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-1-pokoj-18-5m2-praga-poludnie-ID4wfgo,380 000 zł,21 714 zł/m²,"ul. Osowska, Grochów, Praga-Południe, Warszawa, mazowieckie",17.5m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,1978,Brak danych,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-dla-inwestora-13min-centrum-obok-pkm-ID4wcTg,352 000 zł,12 138 zł/m²,"Ujeścisko-Łostowice, Gdańsk, pomorskie",29m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,Brak danych,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/top-kawalerka-nad-rzeka-7-min-do-rynku-ID4wf0n,528 155 zł,18 499 zł/m²,"Kleczków, Psie Pole, Wrocław, dolnośląskie",28.55m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,Brak danych,blok,plastikowe,silikat
